"","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000000003","TSPAN6"
"2","ENSG00000000005","TNMD"
"3","ENSG00000000419","DPM1"
"4","ENSG00000000457","SCYL3"
"5","ENSG00000000460","C1orf112"
"6","ENSG00000000938","FGR"
"7","ENSG00000000971","CFH"
"8","ENSG00000001036","FUCA2"
"9","ENSG00000001084","GCLC"
"10","ENSG00000001167","NFYA"
"11","ENSG00000001460","STPG1"
"12","ENSG00000001461","NIPAL3"
"13","ENSG00000001497","LAS1L"
"14","ENSG00000001561","ENPP4"
"15","ENSG00000001617","SEMA3F"
"16","ENSG00000001626","CFTR"
"17","ENSG00000001629","ANKIB1"
"18","ENSG00000001630","CYP51A1"
"19","ENSG00000001631","KRIT1"
"20","ENSG00000002016","RAD52"
"21","ENSG00000002079","MYH16"
"22","ENSG00000002330","BAD"
"23","ENSG00000002549","LAP3"
"24","ENSG00000002586","CD99"
"25","ENSG00000002587","HS3ST1"
"26","ENSG00000002726","AOC1"
"27","ENSG00000002745","WNT16"
"28","ENSG00000002746","HECW1"
"29","ENSG00000002822","MAD1L1"
"30","ENSG00000002834","LASP1"
"31","ENSG00000002919","SNX11"
"32","ENSG00000002933","TMEM176A"
"33","ENSG00000003056","M6PR"
"34","ENSG00000003096","KLHL13"
"35","ENSG00000003137","CYP26B1"
"36","ENSG00000003147","ICA1"
"37","ENSG00000003249","DBNDD1"
"38","ENSG00000003393","ALS2"
"39","ENSG00000003400","CASP10"
"40","ENSG00000003402","CFLAR"
"41","ENSG00000003436","TFPI"
"42","ENSG00000003509","NDUFAF7"
"43","ENSG00000003756","RBM5"
"44","ENSG00000003987","MTMR7"
"45","ENSG00000003989","SLC7A2"
"46","ENSG00000004059","ARF5"
"47","ENSG00000004139","SARM1"
"48","ENSG00000004142","POLDIP2"
"49","ENSG00000004399","PLXND1"
"50","ENSG00000004455","AK2"
"51","ENSG00000004468","CD38"
"52","ENSG00000004478","FKBP4"
"53","ENSG00000004487","KDM1A"
"54","ENSG00000004534","RBM6"
"55","ENSG00000004660","CAMKK1"
"56","ENSG00000004700","RECQL"
"57","ENSG00000004766","VPS50"
"58","ENSG00000004776","HSPB6"
"59","ENSG00000004777","ARHGAP33"
"60","ENSG00000004779","NDUFAB1"
"61","ENSG00000004799","PDK4"
"62","ENSG00000004809","SLC22A16"
"63","ENSG00000004838","ZMYND10"
"64","ENSG00000004846","ABCB5"
"65","ENSG00000004848","ARX"
"66","ENSG00000004864","SLC25A13"
"67","ENSG00000004866","ST7"
"68","ENSG00000004897","CDC27"
"69","ENSG00000004939","SLC4A1"
"70","ENSG00000004948","CALCR"
"71","ENSG00000004961","HCCS"
"72","ENSG00000004975","DVL2"
"73","ENSG00000005001","PRSS22"
"74","ENSG00000005007","UPF1"
"75","ENSG00000005020","SKAP2"
"76","ENSG00000005022","SLC25A5"
"77","ENSG00000005059","MCUB"
"78","ENSG00000005073","HOXA11"
"79","ENSG00000005075","POLR2J"
"80","ENSG00000005100","DHX33"
"81","ENSG00000005102","MEOX1"
"82","ENSG00000005108","THSD7A"
"83","ENSG00000005156","LIG3"
"84","ENSG00000005175","RPAP3"
"85","ENSG00000005187","ACSM3"
"86","ENSG00000005189","REXO5"
"87","ENSG00000005194","CIAPIN1"
"88","ENSG00000005206","SPPL2B"
"89","ENSG00000005238","FAM214B"
"90","ENSG00000005243","COPZ2"
"91","ENSG00000005249","PRKAR2B"
"92","ENSG00000005302","MSL3"
"93","ENSG00000005339","CREBBP"
"94","ENSG00000005379","TSPOAP1"
"95","ENSG00000005381","MPO"
"96","ENSG00000005421","PON1"
"97","ENSG00000005436","GCFC2"
"98","ENSG00000005448","WDR54"
"99","ENSG00000005469","CROT"
"100","ENSG00000005471","ABCB4"
"101","ENSG00000005483","KMT2E"
"102","ENSG00000005486","RHBDD2"
"103","ENSG00000005513","SOX8"
"104","ENSG00000005700","IBTK"
"105","ENSG00000005801","ZNF195"
"106","ENSG00000005810","MYCBP2"
"107","ENSG00000005812","FBXL3"
"108","ENSG00000005844","ITGAL"
"109","ENSG00000005882","PDK2"
"110","ENSG00000005884","ITGA3"
"111","ENSG00000005889","ZFX"
"112","ENSG00000005893","LAMP2"
"113","ENSG00000005961","ITGA2B"
"114","ENSG00000005981","ASB4"
"115","ENSG00000006007","GDE1"
"116","ENSG00000006015","REX1BD"
"117","ENSG00000006016","CRLF1"
"118","ENSG00000006025","OSBPL7"
"119","ENSG00000006042","TMEM98"
"120","ENSG00000006047","YBX2"
"121","ENSG00000006059","KRT33A"
"122","ENSG00000006062","MAP3K14"
"123","ENSG00000006071","ABCC8"
"124","ENSG00000006116","CACNG3"
"125","ENSG00000006118","TMEM132A"
"126","ENSG00000006125","AP2B1"
"127","ENSG00000006128","TAC1"
"128","ENSG00000006194","ZNF263"
"129","ENSG00000006210","CX3CL1"
